"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"20MICRONS","104.75","180833.00","506098.78","-2.69","-5.25","-2.47","52.59","82.02","107.19","106.73","106.90","107.10","107.82","106.42","106.82","103.43","98.61","99.74","88.03","93.32","82.34","82.87","113.30","102.34","107.82","1.84","2.77","-0.93","17.88","17.68","18.91","49.45","9.66","19.67","-78.95","114.79","3.90","5.83","-82.26","","0.00","6.48","-2.65","","2022-09-21"
"21STCENMGM","24.70","14243.00","6984.24","1.86","-5.36","-11.94","12.27","-39.16","24.85","24.93","26.08","25.87","27.23","26.22","26.63","26.29","26.11","26.22","25.09","26.78","32.04","29.06","30.88","23.57","27.23","-0.51","-0.06","-0.46","25.02","14.88","34.09","34.75","21.48","7.27","-129.36","26.30","0.70","0.79","-85.57","","67.86","22.62","-3.35","","2022-09-21"
"3IINFOLTD","46.95","597758.00","700790.96","-2.80","-6.66","6.34","15.36","413.11","48.92","48.46","49.18","48.53","47.78","47.84","45.64","46.71","44.80","46.25","44.65","47.21","59.74","47.86","53.24","42.32","47.78","1.33","1.63","-0.30","30.49","24.23","19.99","49.17","2.16","3.83","-64.71","54.20","2.65","2.45","-91.19","","0.00","1.17","2.80","","2022-09-21"
"3MINDIA","22986.65","3352.00","4574.80","-3.90","0.77","2.80","17.01","-8.91","23431.93","23326.93","23089.94","23170.51","23050.06","23085.67","22971.64","22918.04","22929.72","22687.27","21777.15","22291.42","22125.85","22302.38","23796.96","22303.17","23050.06","166.44","126.23","40.21","17.45","19.24","15.31","49.75","37.09","55.77","52.43","22621.70","1214.95","726.04","-75.84","","0.00","41.00","625.15","","2022-09-21"
"3PLAND","18.00","2672.00","11178.52","1.41","0.56","-4.51","25.00","31.39","17.99","17.94","17.96","17.88","17.98","17.71","17.16","17.28","16.63","16.87","15.56","16.38","16.36","15.70","18.69","17.26","17.98","0.37","0.48","-0.11","21.40","15.13","16.45","55.60","46.45","48.99","-72.73","19.39","0.80","1.16","-57.45","","53.22","35.09","-0.85","","2022-09-21"
"5PAISA","342.95","21073.00","50575.94","-2.34","-8.85","24.26","20.59","-26.70","359.31","353.83","356.36","349.53","339.45","340.56","315.30","327.20","305.26","319.70","304.24","318.08","342.70","336.64","398.24","280.67","339.45","16.85","18.20","-1.36","37.71","30.80","20.78","55.14","5.11","12.18","-77.22","391.15","16.75","16.92","-77.80","","0.00","0.00","66.95","","2022-09-21"
"63MOONS","177.20","73592.00","93170.36","-2.23","-5.06","-4.19","16.89","86.82","180.18","180.02","183.05","182.08","182.75","182.74","184.71","183.15","185.10","183.75","178.16","187.21","212.95","184.70","190.88","174.63","182.75","-1.07","-0.33","-0.73","14.09","17.15","18.68","44.72","8.70","15.02","-101.63","169.85","6.50","9.21","-65.18","","11.17","20.82","-7.75","","2022-09-21"
"A2ZINFRA","11.25","152119.00","410301.02","-1.32","-5.86","-10.36","8.70","161.63","11.61","11.59","12.25","12.01","12.33","12.16","12.64","12.23","12.28","12.17","11.90","11.91","11.17","10.73","13.34","11.32","12.33","-0.24","-0.07","-0.17","22.24","13.94","22.64","34.45","16.35","21.56","-138.10","13.28","0.45","0.65","-93.62","","0.00","7.14","-1.30","","2022-09-21"
"AAATECH","77.40","81000.00","36390.00","-9.95","-16.23","-31.08","4.59","83.20","88.03","89.10","112.59","103.23","114.68","107.40","112.83","108.11","109.53","105.26","92.90","96.82","74.12","80.50","153.25","76.12","114.68","-6.25","0.07","-6.32","38.74","27.46","45.89","25.24","2.23","7.57","-106.16","131.56","8.55","8.09","-100.00","","0.00","0.00","-34.90","","2022-09-21"
"AAKASH","14.50","300170.00","262410.94","-4.29","-9.66","14.62","-29.10","-48.31","14.91","14.83","14.25","14.37","13.57","14.05","13.29","13.96","13.49","14.38","15.49","16.05","21.63","18.65","16.21","10.94","13.57","0.49","0.29","0.20","23.06","26.84","21.68","55.17","40.76","47.26","38.39","15.96","0.80","0.75","-37.80","","0.00","15.48","1.85","","2022-09-21"
"AARON","163.65","8210.00","33687.42","-2.12","-9.96","25.64","48.98","62.03","169.36","169.01","179.00","171.17","170.81","167.47","155.17","158.83","145.21","151.15","131.99","140.10","125.12","125.47","209.87","131.75","170.81","7.82","11.22","-3.40","32.29","20.31","19.76","50.40","16.48","13.79","-141.85","199.35","13.15","12.17","-90.19","","0.00","0.00","33.40","","2022-09-21"
"AARTIDRUGS","474.65","1231186.00","212671.42","3.11","3.57","5.29","18.04","-24.33","459.21","462.73","455.82","456.28","448.88","452.07","443.28","445.75","438.67","441.56","427.11","441.68","463.24","474.30","476.75","421.00","448.88","7.91","6.81","1.10","22.08","36.90","17.10","65.79","68.09","52.40","129.92","431.00","28.25","14.75","-23.81","","100.00","71.92","23.85","","2022-09-21"
"AARTIIND","862.00","322979.00","750716.22","-1.52","-5.11","9.58","25.15","-6.92","879.06","873.83","872.65","867.98","852.26","857.05","836.37","837.29","809.29","822.63","771.85","815.23","867.26","832.16","921.44","783.08","852.26","21.48","23.37","-1.89","31.98","27.49","17.09","55.59","1.81","8.72","-6.53","921.99","23.15","23.67","-68.72","","0.00","3.99","75.35","","2022-09-21"
"AARTIIND-1M","863.85","743750.00","1638324.00","-1.69","-5.21","9.78","25.46","-6.61","881.89","876.44","874.77","870.27","854.09","859.17","838.30","839.25","811.17","824.49","773.44","816.96","868.75","832.84","924.68","783.49","854.09","21.78","23.54","-1.75","33.76","27.79","17.05","55.40","3.28","11.12","-6.90","923.54","24.60","23.97","-67.57","","0.00","4.03","76.95","","2022-09-21"
"AARTISURF","830.65","11942.00","23550.66","-0.58","-4.73","12.11","32.55","-44.43","833.86","833.85","840.71","830.62","819.67","820.87","800.19","801.44","779.83","785.60","731.19","778.27","824.25","845.66","914.56","724.78","819.67","19.65","23.12","-3.47","36.08","30.58","14.76","54.66","29.00","19.58","-59.03","810.00","31.00","37.69","-85.12","","27.08","18.54","89.75","","2022-09-21"
"AARVEEDEN","27.15","113669.00","60143.00","6.26","-3.55","21.21","36.78","45.58","26.10","26.33","26.57","26.25","26.57","25.87","24.78","24.96","23.07","24.26","22.36","23.75","24.89","23.64","29.79","23.36","26.57","0.82","1.10","-0.28","44.75","31.15","12.78","57.55","45.84","20.78","3.05","30.32","2.60","1.90","-60.55","","100.00","35.00","4.75","","2022-09-21"
"AARVI","162.50","71105.00","63170.92","9.98","23.11","43.87","67.01","181.14","156.69","151.32","129.69","136.13","122.15","128.76","115.88","120.39","109.77","115.13","104.59","108.52","98.55","97.24","164.13","80.17","122.15","13.04","8.21","4.83","36.82","42.81","19.54","74.01","67.12","67.14","102.66","112.95","14.75","10.70","-17.16","","28.84","25.24","49.55","","2022-09-21"
"AAVAS","2170.75","34902.00","91135.90","-2.32","-4.14","-3.15","12.81","-12.93","2200.86","2208.65","2255.33","2235.79","2254.87","2240.68","2247.25","2232.58","2223.46","2222.22","2152.75","2235.37","2410.85","2314.01","2340.23","2169.51","2254.87","-4.64","9.79","-14.42","14.17","13.18","25.09","41.12","36.46","43.61","-126.15","2319.08","68.00","69.60","-79.66","","31.36","54.36","-70.50","","2022-09-21"
"ABAN","54.55","130944.00","417089.82","-1.53","-3.79","19.89","21.22","27.01","55.67","55.52","56.04","55.48","55.85","54.57","51.67","52.79","49.52","51.51","48.51","50.28","49.55","48.81","60.55","51.15","55.85","1.83","2.33","-0.50","33.58","27.92","17.25","53.22","6.45","6.26","-84.38","62.17","2.20","2.98","-84.90","","0.00","0.00","9.05","","2022-09-21"
"ABB","3129.65","199589.00","422265.30","-0.66","-4.83","9.06","44.01","69.79","3183.02","3179.23","3268.20","3213.06","3254.70","3180.64","3066.91","3078.73","2932.66","2967.08","2665.19","2767.67","2400.54","2452.35","3444.40","3065.00","3254.70","75.83","119.88","-44.05","33.27","19.21","20.88","49.85","12.95","15.98","-134.79","3378.88","75.00","101.16","-91.44","","0.00","0.00","260.10","","2022-09-21"
"ABBOTINDIA","17912.10","13138.00","14717.60","-1.11","-0.38","-3.64","0.01","-12.54","17767.85","17862.19","18002.55","18036.21","18245.53","18226.35","18760.31","18485.69","19091.22","18590.04","18685.49","18538.83","17980.05","18266.54","19074.14","17416.93","18245.53","-352.36","-347.78","-4.58","43.17","15.55","23.64","41.69","68.30","46.00","-19.80","17325.00","369.95","409.03","-56.99","","83.16","61.05","-677.50","","2022-09-21"
"ABCAPITAL","117.35","2689777.00","3703165.08","0.13","-0.51","7.02","29.03","7.27","117.04","116.94","116.55","116.25","115.67","115.12","112.94","112.54","108.41","110.25","102.98","107.89","109.93","107.42","119.66","111.69","115.67","2.38","2.79","-0.41","34.05","27.56","16.80","59.72","30.90","20.98","33.27","122.59","3.05","3.32","-58.33","","30.42","19.69","7.70","","2022-09-21"
"ABFRL","341.85","4082319.00","2661638.74","1.27","2.18","22.57","48.53","61.17","335.37","335.73","327.67","327.11","318.89","319.86","304.40","308.01","291.40","298.79","274.77","287.63","279.51","273.11","347.46","290.32","318.89","13.88","13.22","0.66","41.43","33.93","11.81","72.79","75.10","61.00","135.34","321.45","10.40","9.70","-14.04","","43.93","29.83","62.95","","2022-09-21"
"ABFRL-1M","342.75","7607600.00","5244980.00","1.24","2.22","23.05","48.80","61.03","335.97","336.48","328.57","327.95","319.80","320.72","305.35","308.85","292.24","299.59","275.37","288.32","280.10","273.42","348.43","291.17","319.80","13.84","13.23","0.61","40.33","34.80","12.11","72.52","74.66","59.27","133.18","322.25","12.30","9.77","-14.37","","43.99","30.16","64.20","","2022-09-21"
"ABMINTLLTD","76.90","174.00","302.86","0.13","-0.45","0.46","-8.18","-26.90","77.68","77.68","78.86","78.15","78.51","78.15","77.61","78.34","77.60","79.15","81.67","82.06","92.09","85.00","81.99","75.03","78.51","-0.03","0.19","-0.22","15.39","16.56","25.33","46.42","26.81","50.35","-115.21","84.01","0.20","2.93","-89.00","","33.22","54.69","0.35","","2022-09-21"
"ABSLBANETF","41.23","6294.00","6516.04","-0.39","-0.51","7.65","25.78","-89.01","41.14","41.13","40.64","40.65","40.10","40.22","39.48","39.43","38.39","38.78","36.55","40.93","36.45","76.63","41.94","38.26","40.10","0.84","0.83","0.01","54.68","39.55","4.65","66.16","11.99","10.70","22.41","47.83","0.77","2.04","-72.22","","24.84","28.75","2.93","","2022-09-21"
"ABSLNN50ET","45.23","4336.00","12367.28","-1.31","-2.44","3.91","23.99","-89.77","45.62","45.54","45.53","45.40","45.14","45.06","44.42","44.29","43.25","43.65","41.13","46.29","41.77","86.41","46.56","43.71","45.14","0.71","0.84","-0.13","19.79","21.82","15.00","56.29","23.82","29.43","71.72","44.53","2.87","1.41","-69.17","","0.00","7.93","1.70","","2022-09-21"
"ACC","2531.20","2989063.00","869866.88","-7.13","-7.73","10.87","23.17","5.69","2651.42","2616.34","2529.55","2546.70","2446.51","2489.22","2370.20","2412.25","2309.79","2358.94","2241.22","2294.43","2215.59","2228.78","2781.80","2111.22","2446.51","104.92","89.17","15.75","45.65","25.51","18.53","55.53","18.95","46.10","36.51","2785.00","202.50","101.00","-49.88","","0.00","13.28","248.25","","2022-09-21"
"ACC-1M","2536.90","4408000.00","1716120.00","-7.05","-8.07","11.14","23.03","5.96","2659.08","2624.11","2541.38","2556.58","2457.40","2499.24","2380.18","2421.71","2318.09","2367.62","2247.69","2301.78","2220.77","2234.67","2792.47","2122.33","2457.40","104.88","90.18","14.70","35.59","25.50","20.79","55.28","18.75","45.11","34.69","2799.50","203.20","102.99","-50.74","","0.00","12.89","254.20","","2022-09-21"
"ACCELYA","1143.50","20740.00","22222.96","-1.69","-2.39","10.07","33.88","-10.52","1149.11","1149.71","1143.95","1141.03","1132.88","1126.08","1101.76","1093.77","1040.66","1064.41","982.93","1028.14","995.63","1021.53","1194.79","1070.98","1132.88","30.91","35.70","-4.79","43.92","29.59","16.17","57.41","39.59","37.54","17.90","1097.99","39.45","35.25","-60.84","","12.12","25.47","104.60","","2022-09-21"
"ACCURACY","255.45","67191.00","39725.96","-0.53","6.06","25.62","16.17","101.14","245.90","248.17","233.60","236.31","222.53","229.71","217.22","223.15","213.18","220.69","221.88","219.58","220.92","206.37","265.79","179.28","222.53","11.43","7.70","3.72","28.63","29.12","13.90","72.81","91.89","73.18","91.05","214.87","10.75","11.22","-4.14","","88.36","80.56","52.10","","2022-09-21"
"ACE","292.65","306194.00","756653.78","-1.58","-4.97","26.80","39.19","9.30","295.63","296.20","300.25","292.84","285.95","285.14","263.61","271.26","250.53","260.05","231.21","245.22","226.03","229.45","330.00","241.89","285.95","15.10","17.25","-2.15","39.98","27.21","18.93","59.01","33.55","29.28","-47.64","316.41","9.05","12.89","-52.41","","1.16","13.84","61.85","","2022-09-21"
"ACRYSIL","642.30","162580.00","139216.42","-3.52","-10.52","-7.51","25.35","0.18","669.91","665.67","685.37","680.07","693.61","681.51","681.92","674.81","660.89","667.02","622.48","664.23","711.67","661.56","735.29","651.93","693.61","-0.07","8.19","-8.26","14.75","17.99","26.71","40.07","0.62","3.89","-179.02","725.78","29.30","26.25","-97.38","","0.00","1.46","-52.15","","2022-09-21"
"ADANIENT","3640.10","6089846.00","2245776.40","-5.07","1.90","19.28","73.69","145.91","3740.84","3699.63","3574.31","3571.70","3436.63","3455.95","3212.29","3255.27","2977.17","3076.73","2625.23","2782.33","2200.22","2322.26","3892.24","2981.01","3436.63","224.31","217.96","6.35","63.95","35.23","17.39","67.12","37.76","66.06","67.27","3885.00","291.55","127.42","-37.11","","0.00","28.32","588.50","","2022-09-21"
"ADANIENT-1M","3640.45","13914500.00","6201590.00","-5.27","1.70","19.41","73.18","144.93","3746.69","3705.14","3584.90","3580.25","3447.50","3464.87","3220.74","3263.73","2984.67","3084.46","2630.67","2788.88","2204.88","2327.42","3900.88","2994.12","3447.50","223.90","219.05","4.86","65.07","34.52","16.79","66.36","36.21","65.00","65.30","3898.00","293.05","128.76","-38.73","","0.00","25.31","591.75","","2022-09-21"
"ADANIGREEN","2362.80","2727517.00","2722314.02","-1.55","3.02","-6.23","38.07","104.88","2353.92","2358.05","2344.65","2348.77","2357.53","2337.40","2314.86","2301.29","2258.42","2264.13","2119.09","2197.92","2029.31","1997.09","2422.25","2292.80","2357.53","27.01","34.53","-7.52","11.72","19.91","21.54","54.17","60.87","74.30","54.12","2204.60","124.90","89.39","-34.06","","45.68","81.89","-156.95","","2022-09-21"
"ADANIPORTS","932.90","13178269.00","6460472.08","-3.85","-1.58","11.03","39.46","21.61","953.90","947.17","920.98","923.46","891.55","902.35","860.52","869.20","824.62","843.30","774.43","809.48","763.72","768.69","996.23","786.87","891.55","39.97","37.10","2.88","43.57","28.50","21.18","61.85","33.09","53.68","43.61","987.85","59.00","30.00","-36.68","","0.00","20.24","92.65","","2022-09-21"
"ADANIPORTS-1M","933.55","24113750.00","13801875.00","-3.85","-2.00","11.07","39.34","21.41","955.50","948.69","923.69","925.75","894.39","904.76","863.07","871.48","826.49","845.37","775.77","811.28","765.38","770.36","998.39","790.38","894.39","39.85","37.34","2.50","25.24","22.43","28.00","61.73","33.07","57.33","44.78","869.76","58.55","34.36","-32.73","","0.00","19.32","93.05","","2022-09-21"
"ADANIPOWER","390.50","3388489.00","9540268.62","-1.95","1.55","-9.71","49.45","288.75","393.51","393.09","395.85","393.75","396.17","390.12","383.07","377.02","355.55","361.09","323.61","326.39","227.89","255.94","413.80","378.54","396.17","8.99","13.21","-4.22","17.55","21.99","18.11","52.75","37.17","46.43","-54.17","411.58","21.00","16.85","-77.10","","7.43","41.70","-42.00","","2022-09-21"
"ADANITRANS","3865.75","474339.00","527218.72","-3.87","-2.83","10.88","90.19","112.36","4023.37","3977.54","3979.50","3953.65","3923.21","3883.79","3754.42","3709.36","3499.88","3519.48","2926.35","3179.60","2504.94","2626.10","4145.64","3700.78","3923.21","150.18","182.87","-32.69","14.50","15.95","21.09","54.11","12.91","32.65","-55.04","4236.75","219.70","166.74","-87.14","","0.00","0.00","379.35","","2022-09-21"
"ADFFOODS","696.55","14881.00","22031.98","-0.51","-1.28","-0.50","1.50","-25.33","700.97","700.50","706.09","704.50","707.25","705.82","708.25","707.49","707.67","710.07","716.81","719.82","756.74","744.74","725.04","689.46","707.25","-2.33","-0.90","-1.44","18.18","20.52","20.32","43.82","29.82","24.81","-150.11","722.69","24.95","20.83","-72.62","","2.05","15.86","-3.50","","2022-09-21"
"ADL","73.75","1610.00","3500.98","0.14","-1.73","19.14","23.12","81.20","74.97","74.58","77.20","74.67","74.79","73.26","68.35","70.24","65.27","67.56","61.61","63.23","55.01","56.16","86.83","62.75","74.79","2.90","3.85","-0.95","34.47","18.69","15.44","54.71","43.08","50.43","-81.53","79.85","5.65","5.03","-81.28","","2.90","15.86","11.85","","2022-09-21"
"ADORWELD","1011.70","164523.00","42589.96","6.11","6.39","32.97","65.83","53.29","957.49","967.90","942.90","938.39","910.49","915.20","861.45","877.01","834.06","843.70","757.14","792.18","711.28","721.63","1027.10","793.87","910.49","44.31","41.69","2.62","41.09","33.01","10.86","71.31","82.85","60.92","175.23","842.27","71.35","47.56","-8.46","","100.00","74.63","250.85","","2022-09-21"
"ADROITINFO","19.85","133294.00","48666.94","4.47","15.41","12.46","97.51","89.05","18.17","18.59","17.49","17.78","17.34","17.46","16.80","16.95","16.82","16.40","14.45","15.29","13.00","13.51","18.96","15.72","17.34","0.61","0.40","0.21","12.25","25.32","12.15","71.33","101.11","95.78","250.31","16.36","1.70","1.14","-2.53","","100.00","100.00","2.20","","2022-09-21"
"ADSL","111.35","76603.00","219431.00","-1.63","-4.79","-3.97","-7.01","57.16","113.17","112.97","114.02","114.08","114.44","115.05","116.45","117.11","121.69","119.05","123.64","121.63","126.86","117.23","118.61","110.26","114.44","-2.00","-2.16","0.16","15.58","16.93","24.44","39.39","15.31","13.49","-110.95","121.85","3.80","4.01","-87.50","","0.00","13.55","-4.60","","2022-09-21"
"ADVANIHOTR","83.20","37305.00","53123.04","-1.54","0.06","5.05","23.53","12.66","84.04","83.79","83.65","83.31","82.75","82.60","81.27","81.03","78.81","79.67","74.77","78.39","79.58","77.09","85.83","79.67","82.75","1.47","1.67","-0.20","26.89","18.66","13.72","55.54","34.74","51.60","-28.47","81.63","3.30","3.13","-62.07","","0.00","52.82","4.00","","2022-09-21"
"ADVENZYMES","297.65","979210.00","362129.38","1.69","8.91","12.83","9.27","-25.39","280.94","285.05","277.08","278.42","273.13","276.49","273.52","275.70","276.98","276.41","278.27","280.80","297.20","298.31","290.67","255.59","273.13","3.02","0.43","2.59","18.73","29.70","14.11","69.71","71.76","47.76","226.42","263.00","12.15","10.20","-24.34","","100.00","66.67","33.85","","2022-09-21"
"AEGISCHEM","278.80","582870.00","1365085.10","-1.69","-5.70","12.22","30.16","15.35","283.85","282.05","281.54","281.26","280.62","278.63","275.16","271.58","261.71","263.67","240.38","250.18","225.74","239.30","302.59","258.66","280.62","5.78","7.19","-1.41","29.36","28.33","14.90","52.40","19.86","32.45","-27.04","300.19","14.90","12.53","-73.86","","0.00","11.52","30.35","","2022-09-21"
"AFFLE","1262.95","114999.00","419710.62","-1.01","-4.79","-2.86","31.87","27.97","1279.97","1279.74","1295.01","1288.02","1301.18","1277.22","1247.19","1243.62","1182.44","1211.47","1107.86","1172.64","1163.83","1132.14","1356.60","1245.76","1301.18","25.40","38.85","-13.45","27.71","19.92","22.37","50.44","29.62","29.20","-72.13","1350.77","33.90","44.92","-76.03","","0.00","4.49","-37.20","","2022-09-21"
"AGARIND","611.25","47702.00","90657.58","-0.63","-6.21","0.94","36.41","101.50","619.18","621.32","645.53","634.59","651.09","633.40","635.87","617.82","583.25","600.38","543.87","574.62","536.73","518.94","697.17","605.01","651.09","6.35","17.41","-11.06","33.24","21.49","18.42","45.61","30.78","34.07","-120.88","666.99","19.10","31.45","-83.47","","21.07","28.21","5.70","","2022-09-21"
"AGRITECH","89.90","3107.00","5776.58","-2.39","-4.67","-0.50","22.06","17.29","91.27","91.12","92.04","91.29","90.94","90.76","89.66","89.41","87.90","88.26","83.33","86.74","82.87","81.19","95.82","86.05","90.94","1.16","1.58","-0.42","27.14","18.36","11.40","49.67","20.78","21.67","-45.60","89.00","3.00","4.67","-64.82","","6.12","18.29","-0.45","","2022-09-21"
"AGROPHOS","38.30","51902.00","126917.06","0.00","-3.40","10.06","10.06","149.51","39.61","39.16","40.78","39.51","39.40","39.01","37.48","37.93","35.52","37.19","35.65","36.03","32.13","31.99","45.88","32.92","39.40","1.04","1.53","-0.48","21.10","27.66","19.13","49.60","9.39","13.68","-128.30","47.18","1.45","2.55","-93.90","","0.00","0.00","3.50","","2022-09-21"
"AHLADA","109.60","13649.00","31746.92","-1.35","-9.08","21.71","31.41","-22.43","112.54","112.83","118.99","115.52","119.74","114.13","107.53","109.80","102.10","106.09","95.70","103.22","109.04","107.41","136.17","103.32","119.74","3.27","5.85","-2.58","29.38","20.58","21.00","46.76","19.38","9.84","-144.50","133.03","10.30","7.19","-82.91","","0.00","0.00","19.55","","2022-09-21"
"AHLEAST","344.65","49348.00","17301.20","-0.04","13.02","50.14","58.17","88.18","335.95","335.71","296.44","305.80","274.75","289.89","260.78","271.95","249.99","260.85","238.55","246.78","221.79","226.31","361.44","188.07","274.75","28.08","18.79","9.29","43.68","40.05","7.03","74.44","59.16","72.01","103.08","285.01","22.85","19.74","-24.22","","0.00","33.33","115.10","","2022-09-21"
"AHLUCONT","455.95","6088.00","27234.90","0.41","-0.74","6.67","16.31","18.98","455.80","456.23","457.54","455.16","450.12","453.27","449.79","450.19","449.31","447.56","436.19","442.96","431.10","425.88","475.70","424.54","450.12","3.58","3.61","-0.03","19.08","18.56","13.41","53.08","45.78","36.91","21.44","450.18","10.25","15.08","-47.71","","40.92","13.93","28.50","","2022-09-21"
"AIAENG","2623.40","68586.00","76687.54","-2.09","1.74","4.93","25.68","25.06","2580.93","2603.21","2566.52","2577.65","2570.92","2562.75","2544.69","2524.13","2487.26","2470.75","2324.42","2347.26","2032.22","2155.59","2659.72","2482.12","2570.92","32.08","31.52","0.56","21.36","26.10","15.19","56.83","67.74","64.32","138.76","2474.66","124.85","92.84","-39.55","","60.74","81.73","123.35","","2022-09-21"
"AIRAN","18.65","102590.00","294967.68","-1.06","-1.84","-2.61","-9.02","-17.11","18.74","18.74","18.91","18.91","19.09","19.06","19.42","19.30","19.66","19.49","19.84","19.83","21.03","20.33","19.72","18.45","19.09","-0.28","-0.27","-0.01","12.51","14.20","20.40","38.58","62.04","55.98","-83.02","19.84","0.40","0.56","-79.66","","58.00","52.67","-0.50","","2022-09-21"
"AIROLAM","106.25","1755162.00","80304.12","19.99","46.86","47.77","65.63","112.50","82.95","87.68","76.99","79.65","75.79","77.00","72.51","74.00","70.19","72.11","67.58","70.11","69.43","65.62","91.48","60.09","75.79","4.70","2.32","2.38","48.90","55.32","4.91","86.90","101.70","81.80","364.49","69.00","17.70","5.11","0.00","","100.00","92.81","34.35","","2022-09-21"
"AJANTPHARM","1265.60","75377.00","101630.18","-1.35","-6.76","-2.43","5.19","-13.12","1280.70","1288.72","1340.67","1318.63","1344.31","1322.37","1317.60","1313.51","1296.94","1299.22","1248.66","1278.67","1283.17","1279.45","1430.93","1257.69","1344.31","-2.89","13.33","-16.22","35.18","16.55","24.25","38.90","21.26","18.50","-109.34","1372.32","44.80","42.92","-85.89","","14.79","12.33","-31.55","","2022-09-21"
"AJMERA","271.60","36766.00","77127.28","-2.98","-1.00","7.61","18.52","-20.02","272.64","273.97","275.72","273.43","272.61","272.13","269.11","269.97","267.67","269.71","263.19","275.92","309.62","286.23","285.71","259.51","272.61","2.55","2.97","-0.42","10.93","19.38","19.36","50.54","63.85","62.65","-47.97","291.31","11.55","12.17","-60.20","","42.53","72.51","19.20","","2022-09-21"
"AJOONI","32.65","1777728.00","304105.88","-18.38","-19.48","-29.48","-28.79","-36.91","38.77","37.77","40.23","39.80","41.06","40.61","42.18","41.66","42.46","42.90","45.58","46.18","56.54","50.90","45.50","36.63","41.06","-1.44","-0.86","-0.59","14.48","12.21","33.47","20.95","7.21","9.16","-386.83","43.83","8.30","2.37","-94.20","","0.00","2.49","-13.65","","2022-09-21"
"AJRINFRA","1.65","594611.00","1487502.64","-2.94","-13.16","13.79","10.00","6.45","1.75","1.74","1.83","1.76","1.71","1.73","1.64","1.68","1.58","1.66","1.61","1.69","1.97","1.75","2.10","1.32","1.71","0.06","0.08","-0.02","23.65","25.47","28.53","46.62","-2.27","-3.30","-84.96","2.08","0.05","0.09","-69.23","","0.00","0.00","0.20","","2022-09-21"
"AKASH","38.60","22552.00","72943.34","-3.50","-6.08","-22.33","21.00","-79.22","39.48","39.94","43.04","42.27","44.66","43.49","46.01","44.33","46.66","44.89","40.83","51.27","91.96","84.87","51.52","37.79","44.66","-2.00","-1.15","-0.85","25.65","9.65","28.69","31.37","33.14","29.12","-99.56","47.12","2.15","2.74","-90.38","","32.48","60.26","-11.10","","2022-09-21"
"AKG","57.45","18519.00","89384.76","-3.36","-6.05","27.10","97.76","136.91","59.35","59.16","60.80","58.47","56.95","56.53","50.26","52.96","48.92","49.98","41.90","45.89","41.73","42.92","68.38","45.53","56.95","3.82","4.44","-0.62","40.17","23.81","12.35","57.97","23.71","35.87","-85.57","63.04","3.45","3.47","-56.45","","0.00","1.45","12.25","","2022-09-21"
"AKSHARCHEM","347.65","11183.00","22436.78","-2.63","-5.76","24.94","32.44","-15.81","352.85","353.86","358.76","349.08","336.76","339.61","312.69","325.24","304.00","316.98","294.31","316.25","355.35","335.82","410.48","263.03","336.76","17.84","19.37","-1.53","36.00","31.02","19.90","56.55","28.99","32.74","-58.51","388.57","16.95","18.25","-56.66","","0.43","20.45","69.40","","2022-09-21"
"AKSHOPTFBR","11.95","395195.00","823292.76","-1.65","-9.13","25.13","34.27","36.57","12.33","12.28","12.76","12.21","11.80","11.86","10.82","11.29","10.44","10.92","10.08","10.64","11.07","10.41","14.69","8.92","11.80","0.67","0.78","-0.11","34.80","25.64","17.70","54.56","5.46","5.73","-102.18","14.09","0.50","0.79","-66.20","","0.00","0.00","2.40","","2022-09-21"
"AKZOINDIA","2214.00","41875.00","16385.46","3.62","4.60","16.69","30.11","0.13","2152.61","2151.23","2066.73","2085.62","2022.13","2050.71","1983.19","2007.71","1966.64","1976.75","1890.16","1940.99","1914.16","1953.20","2201.57","1842.69","2022.13","62.52","43.47","19.05","31.67","32.76","9.16","81.87","80.95","76.78","129.33","2030.85","99.45","55.27","-7.10","","100.00","64.55","316.60","","2022-09-21"
"ALANKIT","12.95","100135.00","312093.00","-1.15","-3.36","13.10","21.03","-18.04","13.10","13.10","13.32","13.03","12.82","12.84","12.33","12.54","12.08","12.37","11.87","12.46","13.78","13.47","14.37","11.27","12.82","0.36","0.41","-0.05","24.74","27.53","19.33","54.87","9.52","16.58","-87.50","12.44","0.30","0.51","-55.56","","0.00","5.80","1.50","","2022-09-21"
"ALBERTDAVD","570.00","3011.00","6797.84","-0.35","0.30","5.36","9.56","-4.01","570.88","570.60","576.16","569.30","566.46","567.18","559.94","563.99","565.12","561.71","550.20","560.79","575.97","560.71","601.68","531.24","566.46","3.95","4.16","-0.21","17.95","21.16","15.36","52.40","40.70","43.83","-30.17","564.00","10.75","17.90","-63.21","","19.68","26.45","29.00","","2022-09-21"
