"p_symbol","last_close","last_volume","avg_volume","pct_change_1_day","pct_change_1_week","pct_change_1_month","pct_change_3_months","pct_change_1_year","sma_5","ema_5","sma_13","ema_13","sma_20","ema_20","sma_34","ema_34","sma_50","ema_50","sma_89","ema_89","sma_200","ema_200","bband_upper","bband_lower","bband_mid","macd","macd_signal","macd_hist","adx","dmi_plus","dmi_minus","rsi","stoch_k","stoch_d","cci","psar","true_range","atr","williams_r","trix","stochrsi_k","stochrsi_d","momentum","candle","p_date"
"VESUVIUS","1617.45","57939.00","30765.50","1.25","10.03","13.27","58.83","41.40","1525.38","1545.92","1480.10","1492.03","1466.69","1457.03","1378.82","1393.77","1298.55","1336.72","1190.14","1250.64","1116.89","1165.00","1573.72","1359.67","1466.69","68.70","64.19","4.51","44.62","31.50","9.92","75.80","89.85","65.34","260.28","1419.60","62.95","72.24","-7.34","","100.00","70.92","189.50","","2022-09-21"
"VETO","113.55","102065.00","170350.38","-0.53","-4.26","11.49","38.39","9.03","114.64","114.20","112.54","112.60","110.46","110.58","106.11","106.94","102.00","103.96","95.60","100.71","99.86","100.38","120.32","100.60","110.46","3.95","4.14","-0.18","38.13","19.64","15.18","59.39","19.32","32.84","33.43","104.39","5.40","5.65","-40.82","","0.00","0.95","11.70","","2022-09-21"
"VGUARD","251.45","984336.00","371150.60","3.50","3.99","9.40","19.60","-3.14","241.88","244.11","241.35","241.20","238.54","239.90","238.98","237.61","234.96","235.25","229.76","231.24","222.83","227.96","250.21","226.87","238.54","2.53","1.93","0.60","25.98","21.81","10.78","62.75","75.73","56.30","231.21","230.94","13.05","9.16","-13.08","","100.00","91.63","21.60","","2022-09-21"
"VHL","3160.05","1521.00","1777.02","-4.42","-14.63","4.16","16.03","2.09","3357.00","3289.04","3228.20","3240.64","3152.60","3183.26","3058.62","3105.29","2996.24","3063.70","2936.59","3063.91","3266.62","3073.13","3549.62","2755.58","3152.60","105.47","97.87","7.60","38.59","29.68","18.69","51.01","10.14","28.88","-5.40","3870.00","194.40","162.15","-79.06","","0.00","0.00","126.25","","2022-09-21"
"VIDHIING","405.75","34225.00","52961.08","-2.02","-5.27","2.72","14.36","10.45","415.67","412.35","407.13","408.60","397.83","405.04","398.76","401.57","400.00","400.13","394.41","398.89","397.67","382.39","438.33","357.32","397.83","6.10","4.62","1.48","19.08","23.82","19.93","51.47","6.74","12.29","16.44","388.36","18.05","15.74","-53.74","","0.00","4.75","10.75","","2022-09-21"
"VIJIFIN","2.70","89045.00","163152.52","0.00","-5.26","-3.57","-1.82","68.75","2.74","2.73","2.78","2.78","2.81","2.80","2.84","2.83","2.86","2.88","2.96","3.01","3.60","3.05","2.96","2.67","2.81","-0.04","-0.03","-0.01","10.57","11.23","13.45","42.18","12.16","6.88","-137.73","2.93","0.10","0.14","-80.00","","0.00","0.00","-0.10","","2022-09-21"
"VIKASECO","3.25","5166284.00","5196262.58","-4.41","-8.45","-10.96","-18.75","54.76","3.40","3.39","3.53","3.49","3.55","3.53","3.59","3.58","3.61","3.64","3.73","3.80","4.23","3.86","3.76","3.35","3.55","-0.07","-0.04","-0.03","27.73","16.29","22.52","26.32","8.06","3.84","-183.94","3.76","0.25","0.15","-91.67","","0.00","0.00","-0.40","","2022-09-21"
"VIKASLIFE","4.90","5377616.00","6740006.56","-1.01","-2.00","-6.67","-22.83","48.48","4.96","4.96","5.05","5.03","5.11","5.06","5.09","5.10","5.10","5.13","5.20","5.15","5.20","4.89","5.37","4.86","5.11","-0.05","-0.03","-0.03","8.53","15.51","21.49","41.56","16.95","15.30","-140.30","5.30","0.15","0.19","-90.91","","0.00","0.00","-0.35","","2022-09-21"
"VIKASPROP","0.90","2814025.00","5066953.56","-5.26","-5.26","0.00","-41.94","-59.09","0.92","0.92","0.93","0.93","0.92","0.93","0.92","0.96","0.94","1.03","1.23","1.21","1.76","1.58","0.99","0.86","0.92","-0.01","-0.02","0.00","37.00","8.77","14.90","44.60","8.48","13.38","-24.00","0.87","0.05","0.06","-66.67","","14.94","38.31","0.00","","2022-09-21"
"VIKASWSP","2.35","157855.00","164159.30","-2.08","-6.00","-6.00","-4.08","-52.04","2.43","2.42","2.48","2.46","2.48","2.47","2.48","2.48","2.49","2.51","2.54","2.66","3.28","3.18","2.57","2.38","2.48","-0.02","-0.01","-0.01","14.70","8.23","14.08","38.57","17.33","28.82","-230.88","2.60","0.15","0.12","-83.33","","0.00","33.33","-0.15","","2022-09-21"
"VIMTALABS","340.50","20414.00","41593.20","-1.56","-4.98","-11.26","8.11","19.04","349.52","348.18","356.00","356.05","362.09","360.86","371.83","366.18","378.75","367.84","363.41","366.66","369.50","353.37","383.70","340.47","362.09","-8.54","-6.77","-1.77","24.81","8.77","26.24","24.73","14.03","10.01","-204.65","368.15","13.65","11.24","-86.13","","0.00","0.00","-43.20","","2022-09-21"
"VINATIORGA","2129.90","65620.00","67207.54","-1.46","-5.54","-1.38","15.01","14.69","2192.78","2182.15","2254.52","2222.30","2243.33","2225.24","2227.27","2208.64","2189.80","2182.62","2102.80","2130.80","2025.20","2032.31","2353.25","2133.42","2243.33","0.38","21.71","-21.33","30.96","19.88","27.21","38.17","4.71","3.52","-170.21","2352.36","62.65","59.59","-94.31","","0.00","0.00","-29.85","","2022-09-21"
"VINDHYATEL","1300.85","25956.00","14646.28","-0.72","-0.50","-0.63","45.67","14.61","1300.97","1299.78","1303.45","1295.51","1298.51","1279.14","1237.25","1236.18","1167.35","1194.23","1063.26","1138.98","1100.20","1098.04","1342.17","1254.85","1298.51","36.05","46.85","-10.80","31.89","26.10","14.45","58.23","33.11","25.27","64.55","1375.27","68.00","53.90","-66.21","","28.34","22.88","-8.25","","2022-09-21"
"VINEETLAB","60.80","4486.00","14490.44","-1.22","-4.85","5.46","1.33","-23.76","61.57","61.28","60.41","60.65","59.48","60.27","59.17","60.07","60.56","60.09","60.04","60.64","63.61","65.58","63.78","55.17","59.48","0.60","0.28","0.32","9.96","18.79","21.22","52.41","11.65","19.07","21.08","56.97","1.50","2.97","-40.64","","0.00","4.43","3.15","","2022-09-21"
"VINYLINDIA","784.95","293017.00","417360.96","-5.00","-5.59","118.01","209.40","255.50","853.86","821.18","749.38","752.63","665.06","688.77","541.56","597.02","469.89","530.55","383.67","443.12","315.37","347.35","968.01","362.11","665.06","118.40","108.69","9.71","62.92","51.68","16.88","66.31","2.55","34.70","40.66","951.70","41.30","44.94","-40.02","","0.00","0.00","424.90","","2022-09-21"
"VIPCLOTHNG","40.15","3603172.00","452957.82","10.00","28.07","63.21","82.50","114.13","35.20","35.96","32.17","32.81","30.66","31.22","27.86","29.22","26.35","27.96","25.26","26.55","25.02","24.55","37.18","24.13","30.66","2.88","2.08","0.79","42.90","43.55","5.66","89.05","97.95","94.85","224.72","29.75","3.65","1.91","0.00","","100.00","100.00","15.55","","2022-09-21"
"VIPIND","688.55","544977.00","427985.06","0.08","6.82","17.14","15.49","38.06","668.94","670.17","635.70","644.65","620.50","633.40","609.89","623.77","618.98","619.90","605.09","617.20","615.81","596.23","686.21","554.80","620.50","18.95","9.68","9.27","32.72","34.47","9.30","77.42","84.53","82.88","137.88","621.19","22.00","18.91","-7.95","","100.00","78.28","100.75","","2022-09-21"
"VIPULLTD","12.30","167359.00","120519.66","-3.91","-5.75","-4.28","-29.71","-60.06","12.74","12.69","12.94","12.91","12.87","13.15","13.80","13.78","14.74","14.48","16.28","15.96","19.39","18.88","13.36","12.37","12.87","-0.53","-0.63","0.09","23.41","12.38","21.29","31.84","18.49","40.65","-265.10","13.81","0.90","0.76","-94.12","","0.00","50.28","-0.55","","2022-09-21"
"VISAKAIND","636.10","68385.00","56980.20","0.80","3.93","13.52","33.35","-7.74","630.85","628.44","604.05","609.91","599.44","596.40","564.00","575.42","542.16","561.06","524.65","550.76","569.18","559.53","643.65","555.22","599.44","25.62","23.33","2.29","38.45","27.74","9.76","67.28","52.08","63.67","99.53","590.83","23.50","25.35","-29.71","","16.12","38.71","75.75","","2022-09-21"
"VISASTEEL","15.05","52793.00","43139.92","4.88","5.24","10.66","5.61","44.71","14.34","14.47","14.22","14.24","14.04","14.18","14.10","14.20","14.19","14.35","14.75","14.80","15.93","14.83","14.78","13.30","14.04","0.09","0.00","0.10","12.85","17.41","13.88","63.80","88.37","56.34","227.72","13.60","0.70","0.77","-2.78","","100.00","66.67","1.45","","2022-09-21"
